key,value,date
AR,0.1,07/11
AR,0.1,08/11
AR,0.1,09/11
AR,0.1,10/11
AR,0.1,11/11
AR,0.1,12/11
AR,0.07,01/12
AR,0.07,02/12
AR,0.07,03/12
AR,0.07,04/12
AR,0.07,05/12
AR,0.07,06/12
AR,0.26,07/12
AR,0.26,08/12
AR,0.26,09/12
AR,0.26,10/12
AR,0.26,11/12
AR,0.26,12/12
AR,0.16,01/13
AR,0.16,02/13
AR,0.16,03/13
AR,0.16,04/13
AR,0.16,05/13
AR,0.16,06/13
AR,0.38,07/13
AR,0.38,08/13
AR,0.38,09/13
AR,0.38,10/13
AR,0.38,11/13
AR,0.38,12/13
AR,0.33,01/14
AR,0.33,02/14
AR,0.33,03/14
AR,0.33,04/14
AR,0.33,05/14
AR,0.33,06/14
AR,0.32,07/14
AR,0.32,08/14
AR,0.32,09/14
AR,0.32,10/14
AR,0.32,11/14
AR,0.32,12/14
AR,0.1,01/15
AR,0.1,02/15
AR,0.1,03/15
AR,0.1,04/15
AR,0.1,05/15
AR,0.1,06/15
AR,0.07,07/15
AR,0.07,08/15
AR,0.07,09/15
AR,0.07,10/15
AR,0.07,11/15
AR,0.07,12/15
AR,0.26,01/16
AR,0.26,02/16
AR,0.26,03/16
AR,0.26,04/16
AR,0.26,05/16
AR,0.26,06/16
AR,0.16,07/16
AR,0.16,08/16
AR,0.16,09/16
AR,0.16,10/16
AR,0.16,11/16
AR,0.16,12/16
DJ,0.35,07/11
DJ,0.35,08/11
DJ,0.35,09/11
DJ,0.35,10/11
DJ,0.35,11/11
DJ,0.35,12/11
DJ,0.34,01/12
DJ,0.34,02/12
DJ,0.34,03/12
DJ,0.34,04/12
DJ,0.34,05/12
DJ,0.34,06/12
DJ,0.3,07/12
DJ,0.3,08/12
DJ,0.3,09/12
DJ,0.3,10/12
DJ,0.3,11/12
DJ,0.3,12/12
DJ,0.35,01/13
DJ,0.35,02/13
DJ,0.35,03/13
DJ,0.35,04/13
DJ,0.35,05/13
DJ,0.35,06/13
DJ,0.22,07/13
DJ,0.22,08/13
DJ,0.22,09/13
DJ,0.22,10/13
DJ,0.22,11/13
DJ,0.22,12/13
DJ,0.45,01/14
DJ,0.45,02/14
DJ,0.45,03/14
DJ,0.45,04/14
DJ,0.45,05/14
DJ,0.45,06/14
DJ,0.26,07/14
DJ,0.26,08/14
DJ,0.26,09/14
DJ,0.26,10/14
DJ,0.26,11/14
DJ,0.26,12/14
DJ,0.35,01/15
DJ,0.35,02/15
DJ,0.35,03/15
DJ,0.35,04/15
DJ,0.35,05/15
DJ,0.35,06/15
DJ,0.34,07/15
DJ,0.34,08/15
DJ,0.34,09/15
DJ,0.34,10/15
DJ,0.34,11/15
DJ,0.34,12/15
DJ,0.3,01/16
DJ,0.3,02/16
DJ,0.3,03/16
DJ,0.3,04/16
DJ,0.3,05/16
DJ,0.3,06/16
DJ,0.35,07/16
DJ,0.35,08/16
DJ,0.35,09/16
DJ,0.35,10/16
DJ,0.35,11/16
DJ,0.35,12/16
MS,0.21,07/11
MS,0.21,08/11
MS,0.21,09/11
MS,0.21,10/11
MS,0.21,11/11
MS,0.21,12/11
MS,0.35,01/12
MS,0.35,02/12
MS,0.35,03/12
MS,0.35,04/12
MS,0.35,05/12
MS,0.35,06/12
MS,0.4,07/12
MS,0.4,08/12
MS,0.4,09/12
MS,0.4,10/12
MS,0.4,11/12
MS,0.4,12/12
MS,0.46,01/13
MS,0.46,02/13
MS,0.46,03/13
MS,0.46,04/13
MS,0.46,05/13
MS,0.46,06/13
MS,0.23,07/13
MS,0.23,08/13
MS,0.23,09/13
MS,0.23,10/13
MS,0.23,11/13
MS,0.23,12/13
MS,0.36,01/14
MS,0.36,02/14
MS,0.36,03/14
MS,0.36,04/14
MS,0.36,05/14
MS,0.36,06/14
MS,0.26,07/14
MS,0.26,08/14
MS,0.26,09/14
MS,0.26,10/14
MS,0.26,11/14
MS,0.26,12/14
MS,0.21,01/15
MS,0.21,02/15
MS,0.21,03/15
MS,0.21,04/15
MS,0.21,05/15
MS,0.21,06/15
MS,0.35,07/15
MS,0.35,08/15
MS,0.35,09/15
MS,0.35,10/15
MS,0.35,11/15
MS,0.35,12/15
MS,0.4,01/16
MS,0.4,02/16
MS,0.4,03/16
MS,0.4,04/16
MS,0.4,05/16
MS,0.4,06/16
MS,0.46,07/16
MS,0.46,08/16
MS,0.46,09/16
MS,0.46,10/16
MS,0.46,11/16
MS,0.46,12/16
RC,0.1,07/11
RC,0.1,08/11
RC,0.1,09/11
RC,0.1,10/11
RC,0.1,11/11
RC,0.1,12/11
RC,0.07,01/12
RC,0.07,02/12
RC,0.07,03/12
RC,0.07,04/12
RC,0.07,05/12
RC,0.07,06/12
RC,0.26,07/12
RC,0.26,08/12
RC,0.26,09/12
RC,0.26,10/12
RC,0.26,11/12
RC,0.26,12/12
RC,0.16,01/13
RC,0.16,02/13
RC,0.16,03/13
RC,0.16,04/13
RC,0.16,05/13
RC,0.16,06/13
RC,0.38,07/13
RC,0.38,08/13
RC,0.38,09/13
RC,0.38,10/13
RC,0.38,11/13
RC,0.38,12/13
RC,0.33,01/14
RC,0.33,02/14
RC,0.33,03/14
RC,0.33,04/14
RC,0.33,05/14
RC,0.33,06/14
RC,0.32,07/14
RC,0.32,08/14
RC,0.32,09/14
RC,0.32,10/14
RC,0.32,11/14
RC,0.32,12/14
RC,0.1,01/15
RC,0.1,02/15
RC,0.1,03/15
RC,0.1,04/15
RC,0.1,05/15
RC,0.1,06/15
RC,0.07,07/15
RC,0.07,08/15
RC,0.07,09/15
RC,0.07,10/15
RC,0.07,11/15
RC,0.07,12/15
RC,0.26,01/16
RC,0.26,02/16
RC,0.26,03/16
RC,0.26,04/16
RC,0.26,05/16
RC,0.26,06/16
RC,0.16,07/16
RC,0.16,08/16
RC,0.16,09/16
RC,0.16,10/16
RC,0.16,11/16
RC,0.16,12/16
CG,0.1,07/11
CG,0.1,08/11
CG,0.1,09/11
CG,0.1,10/11
CG,0.1,11/11
CG,0.1,12/11
CG,0.07,01/12
CG,0.07,02/12
